AffymetrixID,AGI,L1P(-)normalized,L1P(-)rawvalue,L1P(-)flags,L2P(+)normalized,L2P(+)rawvalue,L2P(+)flags,L3P(-)normalized,L3P(-)rawvalue,L3P(-)flags,L4P(+)normalized,L4P(+)rawvalue,L4P(+)flagsvalue,L5P(-)normalized,L5P(-)rawvalue,L5P(-)flags,L6P(+)normalized,L6P(+)rawvalue,L6P(+)flags,meanRatioP(-)/P(+)
254890_at,At4g11600,1.694,2285.300,P,0.241,250.5,P,1.589,1144.2,P,0.411,365.6,P,2.121,4340.9,P,0.259,603.3,P,6.36147162700151
257373_at,At2g43140,2.537,80.2,P,0.418,10.2,A,1.582,26.7,P,0.326,6.8,A,2.164,103.8,P,0.27,14.7,A,6.31231784714725
251625_at,At3g57260,2.67,710.7,P,0.359,73.6,P,1.641,233.3,P,0.331,58.1,P,2.026,818,P,0.312,143.1,P,6.29620652545822
245393_at,At4g16260,3.064,413.4,P,0.71,73.9,P,1.29,92.9,P,0.368,32.7,P,2.757,564.3,P,0.25,58.2,P,6.28297591345173
252205_at,At3g50350,1.898,155,P,0.287,18.1,A,1.601,69.8,P,0.399,21.5,A,2.303,285.4,P,0.286,40.3,P,6.22607309962894
263083_at,At2g27190,1.793,1618.5,P,0.228,158.6,P,1.648,794.2,P,0.331,196.8,P,2.009,2751.300,P,0.352,547.7,P,6.18342447170063
260932_s_at,At1g02530,1.675,34.2,P,0.19,3,A,1.568,17.1,P,0.282,3.8,A,1.766,54.7,P,0.432,15.2,A,6.15467870819681
247983_at,At5g56630,2.387,1190.300,P,0.335,129,P,1.578,420,P,0.422,138.7,P,3.042,2300.5,P,0.403,346.1,P,6.13769890799785
262855_at,At1g20860,2.028,101.2,P,0.32,12.3,A,1.513,40.3,P,0.356,11.7,A,3.808,288.2,P,0.487,41.9,A,6.13560061601643
254892_at,At4g11800,2.022,486.7,P,0.343,63.6,P,1.578,202.8,P,0.344,54.5,P,3.334,1217,P,0.422,175,P,6.12757565591777
262366_at,At1g72890,2.377,185.9,P,0.347,20.9,P,1.59,66.4,P,0.41,21.1,P,2.596,307.9,P,0.344,46.4,P,6.09156816687127
260551_at,At2g43510,2.065,1054.5,P,0.3,118.2,P,1.437,391.9,P,0.333,112.2,P,3.942,3054.5,P,0.563,495.8,P,6.06680828252764
249215_at,At5g42800,2.099,1061.1,P,0.253,98.8,P,1.63,439.9,P,0.537,178.7,P,1.463,1122,P,0.228,198.3,P,5.91616370162642
255587_at,At4g01480,1.914,1084.7,P,0.286,125.2,P,1.595,482.8,P,0.342,127.8,P,2.552,2194.2,P,0.405,395.6,P,5.88576165008913
252977_at,At4g38560,1.58,37.7,P,0.293,5.4,A,1.672,21.3,P,0.42,6.6,A,2.097,75.9,P,0.26,10.7,A,5.8129428213046
245193_at,At1g67810,2.087,383.3,P,0.434,61.5,P,1.474,144.5,P,0.191,23.1,A,2.579,718.3,P,0.526,166.6,P,5.80969169079157
264617_at,At2g17660,1.484,27.7,P,0.153,2.2,A,1.887,18.8,P,0.504,6.2,A,1.932,54.7,P,0.516,16.6,P,5.72919335692934
264907_at,At2g17280,2.113,556.1,P,0.332,67.4,P,1.576,221.4,P,0.375,65,P,2.782,1110.800,P,0.424,192.6,P,5.70948175090298
258613_at,At3g02870,1.621,661.9,P,0.259,81.5,P,1.852,403.8,P,0.354,95.3,P,2.128,1318.300,P,0.379,267.2,P,5.70170046745334
253382_at,At4g33040,1.887,308.6,P,0.261,32.9,P,1.459,127.4,P,0.363,39.1,P,3.078,763.9,P,0.541,152.7,P,5.64621091988848
263406_at,At2g04160,1.716,1191.7,P,0.251,134.5,P,1.588,589,P,0.412,188.4,P,2.14,2254.300,P,0.344,412.3,P,5.63731751701705
251503_at,At3g59140,1.642,341.2,P,0.321,51.4,A,1.494,165.7,P,0.506,69.3,P,2.898,913.5,P,0.328,117.4,P,5.6343999403756
253296_at,At4g33770,1.67,185.7,P,0.217,18.6,A,1.743,103.5,P,0.386,28.3,P,1.614,272.2,P,0.356,68.3,M,5.58170148039384
262229_at,At1g68620,2.293,250.2,P,0.472,39.7,P,1.433,83.5,P,0.377,27.1,P,4.503,745.4,P,0.567,106.7,P,5.53363693240471
256677_at,At3g52190,1.9,970,P,0.277,109.2,P,1.629,444,P,0.382,128.5,P,1.618,1252.7,P,0.302,265.6,P,5.49373985865739
251245_at,At3g62090,1.398,37.1,P,0.484,9.9,A,1.377,19.5,M,0.623,10.9,A,2.06,82.9,P,0.184,8.4,A,5.43145159972446
253344_at,At4g33550,1.589,99.6,P,0.337,16.3,P,1.67,55.9,P,0.411,17,P,2.904,276.2,P,0.39,42.2,P,5.40818257264791
251026_at,At5g02200,1.505,195.7,P,0.174,17.4,P,1.441,100,P,0.559,47.9,P,1.799,354.8,P,0.38,85.2,P,5.32048444832601
260130_s_at,At1g66280,2.777,372,P,0.74,76.4,P,1.369,97.9,P,0.306,27,P,1.26,256.1,P,0.163,37.6,P,5.31887342051543
266832_at,At2g30040,1.548,332.9,P,0.231,38.3,P,1.626,186.7,P,0.372,52.7,P,2.139,697.9,P,0.452,167.6,P,5.26818910939665
264186_at,At1g54570,2.513,312,P,0.356,34.1,P,1.407,93.3,P,0.543,44.4,P,3.627,683.1,P,0.593,126.9,P,5.25550216308509
259553_x_at,At1g21310,2.099,555.1,P,0.532,108.4,A,1.357,191.6,P,0.269,46.9,P,4.224,1694.6,P,0.643,293.2,P,5.18643507671861
246098_at,At5g20400,1.596,525.8,P,0.404,102.7,P,1.645,289.3,P,0.251,54.4,P,1.661,830.1,P,0.329,187,P,5.18430404296924
258925_at,At3g10420,1.676,1536.5,P,0.353,249.8,P,2.169,1061.5,P,0.482,290.9,P,1.518,2111.5,P,0.241,381.4,P,5.18221018027655
262933_at,At1g65840,1.687,421,P,0.244,47,P,1.509,201.1,P,0.491,80.7,P,2.532,958.6,P,0.46,198,P,5.16386733597243
250723_at,At5g06300,2.191,244.7,P,0.327,28.2,P,1.511,90.1,P,0.489,36,P,2.316,392.4,P,0.418,80.6,P,5.11031840565304
