"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"AT1G01010"	21.2243600801183	0.0278062003074674	0.37037066683964	0.0750766807337544	0.940153701529805	0.973819550784713
"AT1G01020"	120.16641090474	-0.00197734828814753	0.172416924260512	-0.0114684117967437	0.990849731871581	0.995494771444122
"AT1G01030"	14.5628080152322	-0.559444589394245	0.470292623914156	-1.18956700774529	0.234216619600722	0.438892093261131
"AT1G01040"	224.606535716819	0.135772877820674	0.141194846378029	0.961599387679925	0.336250879210426	0.55430221767815
"AT1G01046"	0.96337723777912	0.517172365821473	1.88770422365016	0.273968961525891	0.784108474477286	NA
"AT1G01050"	471.030491124027	0.182563268020045	0.113370086909754	1.61033014083663	0.107325802557018	0.258358825950996
"AT1G01060"	3.90727199271136	-0.0894281765333652	0.86561553174337	-0.103311658876147	0.917715622689051	0.963828949086168
"AT1G01070"	35.2816196971637	0.461526301559009	0.313444159824985	1.47243547883204	0.140903318343746	0.312065181435452
"AT1G01080"	774.568838140033	-0.224391377666157	0.101355646453705	-2.2139011048452	0.0268355827279658	0.0926616607209329
"AT1G01090"	979.512628012682	-0.180191510684999	0.108165341793133	-1.66588953261588	0.0957354188468871	0.238138961980922
"AT1G01100"	1554.50115979437	-0.625225710633457	0.131261712422829	-4.76319940592758	1.90547375320266e-06	2.38232952494405e-05
"AT1G01110"	18.4664864795902	0.158875974225296	0.420121325243434	0.37816688817983	0.705306621557409	0.848857411782301
"AT1G01120"	375.015006811783	0.331391069553122	0.132252381104878	2.50574747149787	0.0122192855753414	0.0499447972701139
"AT1G01130"	17.4322629248642	-0.179312191974101	0.44011021307442	-0.407425655318252	0.6836953872611	0.836009904237999
"AT1G01140"	734.023255139906	0.452878090550713	0.152722801834114	2.96536001901422	0.00302328896791	0.0159604191356674
"AT1G01150"	0.614359860759713	0.00678612094231488	2.18984735684815	0.00309890135542695	0.997527438410467	NA
"AT1G01160"	104.589407880672	-0.128010916573822	0.183091381998919	-0.699164074115615	0.484449499441954	0.693225430815072
"AT1G01170"	133.915751406425	0.0289538883339963	0.207535467398443	0.13951296468477	0.889044811790597	0.949181165440403
"AT1G01180"	164.153055617901	0.288828542817302	0.14811416553863	1.95003996928283	0.0511713553136	0.15069347617502
"AT1G01190"	18.336592704824	-0.411324669665378	0.414173820879531	-0.993120880484181	0.320651049446735	0.538105957851137
"AT1G01200"	7.18717424056261	0.548594763176455	0.668693272315537	0.820398209296756	0.41198913598055	0.630560078660275
"AT1G01210"	55.5893282599155	0.107786504935147	0.24926567347663	0.432416158357451	0.665438976289858	0.824244320922803
"AT1G01220"	209.593008646594	0.0523271057257309	0.144090529266892	0.363154372407142	0.716489569729648	0.855012635572655
"AT1G01225"	23.9917555704068	-0.433205828796431	0.373057351475323	-1.16123118089817	0.245547897596277	0.45258210854912
"AT1G01230"	221.26288963349	-0.0673266843107255	0.136987911509778	-0.491479018613402	0.623087688203259	0.796408726927732
"AT1G01240"	317.81453015653	-0.15269710758047	0.134602100680208	-1.13443331722773	0.256612830191577	0.467424991296329
"AT1G01250"	8.86333051308847	1.61517423781148	0.621942207656616	2.59698444313213	0.00940461834226171	0.0405418666368134
"AT1G01260"	112.228292937502	-0.039065764623893	0.187515163768927	-0.208333895983119	0.834968267066848	0.920970752156202
"AT1G01290"	87.540434271319	0.0834168920482538	0.196955155951224	0.423532410945931	0.671906856627786	0.828298239471677
"AT1G01300"	610.036598877814	-0.316026806655223	0.109032271121212	-2.89847036483256	0.00374987744943321	0.0190950790745357
"AT1G01310"	0.772658937989044	-0.206859108662147	2.14325751571389	-0.096516217554588	0.923110594309939	NA
"AT1G01320"	2431.20679163209	0.278086562149986	0.111372087443009	2.49691433944153	0.012527921555377	0.0508555071816154
"AT1G01340"	37.6184399060194	0.132384175306669	0.320966792583408	0.412454429447767	0.680006375546541	0.833501201494206
"AT1G01350"	143.599459183139	-0.214243355050808	0.162380559905301	-1.31939041949204	0.187038623011766	0.37828905051069
"AT1G01355"	1.41228615240666	1.79973526122785	1.55889436741473	1.15449468472488	0.248297416466339	NA
"AT1G01360"	103.746593529177	0.63379382230055	0.191326071092582	3.31263700070369	0.000924208485536472	0.0057664239713402
"AT1G01370"	35.9150621669275	-0.532521264689618	0.30002701454654	-1.77491105424113	0.0759125747612206	0.201848584019705
